0,0,0
0,0,0
0,0,0
0,0,0
90,126,39
109,153,48
127,178,56
67,94,29
175,165,115
212,200,140
247,233,163
130,123,86
141,141,141
171,171,171
199,199,199
105,105,105
181,0,0
219,0,0
255,0,0
135,0,0
113,113,181
137,137,219
160,160,255
84,84,135
118,118,118
143,143,143
167,167,167
88,88,88
0,88,0
0,106,0
0,124,0
0,65,0
181,181,181
219,219,219
255,255,255
135,135,135
116,119,130
141,144,158
164,168,184
86,89,97
107,77,54
129,93,66
151,109,77
80,57,40
79,79,79
96,96,96
112,112,112
59,59,59
45,45,181
55,55,219
64,64,255
33,33,135
101,84,51
122,102,61
143,119,72
75,63,38
181,178,173
219,216,210
255,252,245
135,133,129
153,90,36
185,109,43
216,127,51
114,67,27
126,53,153
153,65,185
178,76,216
94,40,114
72,108,153
87,131,185
102,153,216
54,81,114
162,162,36
196,196,43
229,229,51
121,121,27
90,144,17
109,175,21
127,204,25
67,108,13
171,90,117
208,109,141
242,127,165
128,67,87
53,53,53
65,65,65
76,76,76
40,40,40
108,108,108
131,131,131
153,153,153
81,81,81
53,90,108
65,109,131
76,127,153
40,67,81
90,44,126
109,54,153
127,63,178
67,33,94
36,53,126
43,65,153
51,76,178
27,40,94
72,53,36
87,65,43
102,76,51
54,40,27
72,90,36
87,109,43
102,127,51
54,67,27
108,36,36
131,43,43
153,51,51
81,27,27
17,17,17
21,21,21
25,25,25
13,13,13
177,168,54
215,204,66
250,238,77
132,126,40
65,155,151
79,188,183
92,219,213
48,116,112
52,90,181
63,110,219
74,128,255
39,67,135
0,154,41
0,186,49
0,217,58
0,115,30
91,61,34
110,73,42
129,86,49
68,45,25
79,1,0
96,1,0
112,2,0
59,1,0
148,125,114
179,152,138
209,177,161
110,93,85
112,58,25
136,70,30
159,82,36
84,43,19
105,61,76
128,74,92
149,87,108
78,46,57
79,76,97
96,92,118
112,108,138
59,57,73
132,94,25
159,114,30
186,133,36
98,70,19
73,83,37
88,100,45
103,117,53
54,62,28
113,54,55
137,66,67
160,77,78
84,40,41
40,29,24
49,35,30
57,41,35
30,21,18
95,75,69
116,92,84
135,107,98
71,56,51
61,65,65
74,79,79
87,92,92
46,48,48
86,51,62
104,62,75
122,73,88
64,38,46
53,44,65
65,53,79
76,62,92
40,32,48
53,35,24
65,43,30
76,50,35
40,26,18
54,58,30
65,70,36
76,82,42
40,43,22
100,42,32
122,51,39
142,60,46
75,31,24
26,15,11
31,18,13
37,22,16
19,11,8
134,34,34
162,41,42
189,48,49
100,25,25
105,44,68
127,54,83
148,63,97
78,33,51
65,17,20
79,21,24
92,25,29
48,13,15
15,89,95
18,108,115
22,126,134
11,66,71
41,100,99
49,122,120
58,142,140
30,75,74
61,31,44
73,37,53
86,44,62
45,23,32
14,127,94
17,154,114
20,180,133
10,95,70
71,71,71
86,86,86
100,100,100
53,53,53
153,124,104
185,150,126
216,175,147
114,92,77
90,118,106
109,143,129
127,167,150
67,88,79
